disarm_id,name,summary,main topic,subtopic,notes
N00001,gargling with bleach will prevent/cure – also appears as satire,,covid19,Preventions and Cures,
N00002,drinking corona beer will prevent/cure – also appears as satire,,covid19,Preventions and Cures,
N00003,taking acetic acid will prevent/cure,,covid19,Preventions and Cures,
N00004,taking steroids will prevent/cure,,covid19,Preventions and Cures,
N00005,taking colloidal silver will cure,,covid19,Preventions and Cures,
N00006,taking MMS (which contains chlorine dioxide) can cure,,covid19,Preventions and Cures,
N00007,using essential oils will prevent,,covid19,Preventions and Cures,
N00008,gargling with salt water will prevent/cure,,covid19,Preventions and Cures,
N00009,gargling with ethanol will prevent/cure,,covid19,Preventions and Cures,
N00010,eating raw garlic will prevent,,covid19,Preventions and Cures,
N00011,garlic will cure,,covid19,Preventions and Cures,
N00012,spraying normal drinking alcohol on body will prevent,,covid19,Preventions and Cures,
N00013,spraying chlorine on body prevents coronavirus,,covid19,Preventions and Cures,
N00014,drinking or washing in sesame oil prevents coronavirus,,covid19,Preventions and Cures,
N00015,using a hand dryer will kill corona virus,,covid19,Preventions and Cures,
N00016,drinking water every 15 minutes will wash virus to the stomach where it will die,,covid19,Preventions and Cures,
N00017,drinking hot water will kill the virus,,covid19,Preventions and Cures,
N00018,avoiding eating ice cream will prevent,,covid19,Preventions and Cures,
N00019,rinsing your nose with saline will prevent,,covid19,Preventions and Cures,
N00020,aspirating boiling water vapor for five minutes deactivates the coronavirus,,covid19,Preventions and Cures,
N00021,having a pneumonia shot will prevent you from getting the disease,,covid19,Preventions and Cures,
N00022,having a flu shot will prevent you from getting the disease,,covid19,Preventions and Cures,
N00023,using cocaine prevents/cures,,covid19,Preventions and Cures,
N00024,Asians are more likely to get Covid 19,,covid19,Preventions and Cures,
N00025,Wearing more than one mask will help prevent the virus,,covid19,Preventions and Cures,
N00026,It is dangerous to receive packages from china,,covid19,Preventions and Cures,
N00027,It is dangerous to eat in a Chinese restaurant (more so than other restaurants),,covid19,Preventions and Cures,
N00028,Cold weather and snow can kill off the SARS-CoV-2 virus,,covid19,Preventions and Cures,
N00029,Warmer weather will kill off the SARS-CoV-2 virus,,covid19,Preventions and Cures,
N00030,Taking a hot bath prevents COVID-19,,covid19,Preventions and Cures,
N00031,Hand dryers are effective in killing off the SARS-CoV-2 virus,,covid19,Preventions and Cures,
N00032,Antibiotics are effective in preventing and treating the SARS-CoV-2 virus,,covid19,Preventions and Cures,
N00033,Vinegar is more effective than hand sanitizer,,covid19,Preventions and Cures,
N00034,Gargling with Vinegar prevents covid-19,,covid19,Preventions and Cures,
N00035,Hand sanitizer does not work,,covid19,Preventions and Cures,
N00036,Shuanghuanglian (Chinese medical herb) can prevent,,covid19,Preventions and Cures,
N00037,drinking cow urine and applying cow dung on the body can cure coronavirus,,covid19,Preventions and Cures,
N00038,there is no risk to mass public gatherings as the virus is impossible to contract outdoors,,covid19,Preventions and Cures,
N00039,drinking water every 15 minutes will prevent coronavirus,,covid19,Preventions and Cures,
N00040,Miracle Mineral Supplement cures,,covid19,Preventions and Cures,
N00041,silver-infused toothpaste will kill the virus,,covid19,Preventions and Cures,
N00042,Kenneth Copeland can cure the virus directly from his tv studio,,covid19,Preventions and Cures,
N00043,you have to be with someone for 10 minutes to catch the virus from them,,covid19,Preventions and Cures,
N00044,"taking ibuprofen makes COVID-19 worse, especially in new patients",,covid19,Preventions and Cures,
N00045,reading the Quran will make you immune,,covid19,Preventions and Cures,
N00046,you can kill the virus by holding a blow dryer up to your nose,,covid19,Preventions and Cures,
N00047,Sheep head’s soup is a preventative,,covid19,Preventions and Cures,
N00048,Lemon and bicarbonate kill the virus,,covid19,Preventions and Cures,
N00049,Lemon juice with salt is a cure,,covid19,Preventions and Cures,
N00050,Lemon juice with Chinese mesona is a cure,,covid19,Preventions and Cures,
N00051,Lemon juice with turmeric prevents,,covid19,Preventions and Cures,
N00052,Consuming alcoholic beverages may help reduce the risk of infection by the novel coronavirus,,covid19,Preventions and Cures,
N00053,Coronavirus will be cured after 14 hours of curfew,,covid19,Preventions and Cures,
N00054,Bitter gourd juice can cure coronavirus in two hours,,covid19,Preventions and Cures,
N00055,“Gale of the wind” and neem tree leaves can prevent corona virus,,covid19,Preventions and Cures,
N00056,Sitting in the sunlight will cure COVID-19,,covid19,Preventions and Cures,
N00057,Coronavirus can be cured by sniffing clove and camphor,,covid19,Preventions and Cures,
N00058,Green chiretta can cure,,covid19,Preventions and Cures,
N00059,Eating bananas will prevent,,covid19,Preventions and Cures,
N00060,15 minutes in Sauna will kill the virus,,covid19,Preventions and Cures,
N00061,Morel mushrooms increase risk by 200%,,covid19,Preventions and Cures,
N00062,Eating onions with salt will cure,,covid19,Preventions and Cures,
N00063,Propolis cures COVID-19,,covid19,Preventions and Cures,
N00064,Arsenic album-30 homeopathic medicine can prevent coronavirus,,covid19,Preventions and Cures,
N00065,Drinking boiled garlic water cures,,covid19,Preventions and Cures,
N00066,A bovine vaccine can be used to inoculate people against coronavirus,,covid19,Preventions and Cures,
N00067,Shaving your beard prevents,,covid19,Preventions and Cures,
N00068,Turkish raki prevents,,covid19,Preventions and Cures,
N00069,Constant sex kills coronavirus,,covid19,Preventions and Cures,
N00070,An alkaline diet prevents,,covid19,Preventions and Cures,
N00071,Volcanic ash kills coronavirus,,covid19,Preventions and Cures,
N00072,Ketamine can cure,,covid19,Preventions and Cures,
N00073,Putting an opinion in your room can prevent,,covid19,Preventions and Cures,
N00074,Black tea can prevent,,covid19,Preventions and Cures,
N00075,Pu’er tea can prevent,,covid19,Preventions and Cures,
N00076,Environmental enzymes can prevent,,covid19,Preventions and Cures,
N00077,Cocaine kills coronavirus,,covid19,Preventions and Cures,
N00078,Corona virus is just a cold,,covid19,Nature of Virus or Disease,
N00079,Covid 19 is a normal flu and is no more dangerous than that,,covid19,Nature of Virus or Disease,
N00080,Children cannot catch corona virus,,covid19,Nature of Virus or Disease,
N00081,SARS-CoV-2 is mutating faster than normal viruses,,covid19,Nature of Virus or Disease,
N00082,Pregnant women who have Covid 19 can pass the virus through the placenta to the unborn child,,covid19,Nature of Virus or Disease,
N00083,Covid 19 only affects the elderly,,covid19,Nature of Virus or Disease,
N00084,The SARS-CoV-2 virus can be transmitted through mosquito bite,,covid19,Nature of Virus or Disease,
N00085,Africans are immune,,covid19,Nature of Virus or Disease,
N00086,Vegetarians are immune,,covid19,Nature of Virus or Disease,
N00087,People in India can resist the coronavirus,,covid19,Nature of Virus or Disease,
N00088,People with type-A blood are more prone to get coronavirus,,covid19,Nature of Virus or Disease,
N00089,Everyone with Covid 19 dies,,covid19,Nature of Virus or Disease,
N00090,There is no corona (virus),,covid19,Nature of Virus or Disease,
N00091,This is “fake news” invented by Trump to strengthen the dollar,,covid19,Nature of Virus or Disease,
N00092,Chloroquine in any amount can cure Covid 19,,covid19,Nature of Virus or Disease,
N00093,The outbreak of covid 19 is not real,,covid19,Nature of Virus or Disease,
N00094,COVID-19 breeds rapidly in toilet paper,,covid19,Nature of Virus or Disease,
N00095,Turks area immune to covid-19,,covid19,Nature of Virus or Disease,
N00096,Coronavirus is caused by snakes,,covid19,Nature of Virus or Disease,
N00097,Coronavirus activates all bacterias and viruses in your body,,covid19,Nature of Virus or Disease,
N00098,It was created in a lab,,covid19,Conspiracy theories including bioweapons,
N00099,It is a US/CIA created bioweapon,,covid19,Conspiracy theories including bioweapons,
N00100,It is a Chinese bioweapon,,covid19,Conspiracy theories including bioweapons,
N00101,It is a Russian bioweapon,,covid19,Conspiracy theories including bioweapons,
N00102,It leaked from a bio-weapons lab in China,,covid19,Conspiracy theories including bioweapons,
N00103,It leaked from the Wuhan Institute of Virology in China,,covid19,Conspiracy theories including bioweapons,
N00104,It was caused by an infected rat biting a student in the Wuhan Institute of Virology in China,,covid19,Conspiracy theories including bioweapons,
N00105,"March 12, Ayatollah Khamenei falsely claimed that there is evidence that COVID-19 might be a “biological attack.”",,covid19,Conspiracy theories including bioweapons,
N00106,Electromagnetic fields and the introduction of 5G wireless technologies led to Covid 19 outbreaks,,covid19,Conspiracy theories including bioweapons,
N00107,Washing hands is propaganda by soap companies,,covid19,Conspiracy theories including bioweapons,
N00108,This was a plan from Gate Foundation to increase the Gate’s wealth,,covid19,Conspiracy theories including bioweapons,
N00109,Qatar knew abut Covid-19 since 2015 and Doha paid billions to China to “grow the virus”,,covid19,Conspiracy theories including bioweapons,
N00110,Corona virus is being spread by Coca-Cola,,covid19,Conspiracy theories including bioweapons,
N00111,US military brought the virus to Wuhan on October 2019,,covid19,Conspiracy theories including bioweapons,
N00112,Bill Gates and Vatican have a plan to depopulate world with coronavirus vaccine,,covid19,Conspiracy theories including bioweapons,
N00113,Saddam Hussein in 90s told his cabinet that US threatened to spread coronavirus if he didn’t follow US commands,,covid19,Conspiracy theories including bioweapons,
N00114,Cuba gave a vaccine to China,,covid19,Conspiracy theories including bioweapons,
N00115,Cuba has a vaccine called Interferon,,covid19,Conspiracy theories including bioweapons,
N00116,Israel found the cure,,covid19,Conspiracy theories including bioweapons,
N00117,China finds a vaccine 3/17,,covid19,Conspiracy theories including bioweapons,
N00118,Institut Pasteur in France invented COVID-19,,covid19,Conspiracy theories including bioweapons,
N00119,"COVID-19 is no worse than other outbreaks, it is just being hyped to hurt Trump",,covid19,Conspiracy theories including bioweapons,
N00120,COVID-19 is a scripted narrative to justify closed borders,,covid19,Conspiracy theories including bioweapons,
N00121,COVID-19 is a scripted narrative to force people to stay at home,,covid19,Conspiracy theories including bioweapons,
N00122,Egypt developed cure (doctor developed a fluid),,covid19,Conspiracy theories including bioweapons,
N00123,Egypt gave China the vaccine,,covid19,Conspiracy theories including bioweapons,
N00124,US has 40 thousands troops immune to COVID-19 conducting an invasion of Europe,,covid19,Conspiracy theories including bioweapons,
N00125,CDC admits coronavirus originated in the US,,covid19,Conspiracy theories including bioweapons,
N00126,Cow urine and feces can cure,,covid19,Conspiracy theories including bioweapons,
N00127,COVID-19 was created in 2014 by an English Institute,,covid19,Conspiracy theories including bioweapons,
N00128,Ecuadorean doctor develops vaccine 3/3,,covid19,Conspiracy theories including bioweapons,
N00129,Filipino student develops vaccine and gets 5million US from Alibaba founder Jack Ma,,covid19,Conspiracy theories including bioweapons,
N00130,"Raúl Rodolfo Abhduz Khan, biochemical engineer from Karmalah Laboratories, is the creator of coronavirus.",,covid19,Conspiracy theories including bioweapons,
N00131,If you can hold your breath for 10 seconds you don’t have Covid 19,,covid19,False Diagnostic Procedures,
N00132,NYC is under martial law 3/20,,covid19,Emergency Measures,
N00133,Only people who have tested positive need to stay home and isolate themselves,,covid19,Emergency Measures,
N00134,Only large gatherings have to be stopped,,covid19,Emergency Measures,
N00135,All human interaction needs to be stopped,,covid19,Emergency Measures,
N00136,Coronavirus is spread only by coughing and sneezing,,covid19,Emergency Measures,
N00137,Social distancing will lead to dramatic immediate results,,covid19,Emergency Measures,
N00138,1 month of social distancing will stop the epidemic permanently,,covid19,Emergency Measures,
N00139,Friend/relative at Pentagon said the US is going on total lockdown,,covid19,Emergency Measures,
N00140,Friend/relative at White House said the US is going on total lockdown,,covid19,Emergency Measures,
N00141,Russia has unleashed over 500 lions to ensure that people stay inside their homes amid the coronavirus outbreak,,covid19,Emergency Measures,
N00142,In Spain – free internet during 60 days due to quarantine,,covid19,Emergency Measures,
N00143,Polish telecommunications company used quarantine as a cover up to put 100 5G antennas in Gdynia,,covid19,Emergency Measures,
N00144,Riots in London due to unavailability of food leading to lockdown and martial law 3/22,,covid19,Emergency Measures,
N00145,In USA Helicopters are spraying disinfectants to try to eradicate coronavirus,,covid19,Emergency Measures,
N00146,Bangalore Municipal body will be spraying medicine in the air to kill coronavirus,,covid19,Emergency Measures,
N00147,Homeland Security is mobilizing the national guard to combat coronavirus 3/20,,covid19,Emergency Measures,
N00148,Janta curfew in India will break the chain of transmission,,covid19,Emergency Measures,
N00149,Elderly people in Brazil who are caught wandering outside with have their pensions cancelled by the government,,covid19,Emergency Measures,
N00150,People in Spain are committing suicide due to quarantine 3/20,,covid19,Emergency Measures,
N00151,Parks in Adra Spain are being fumigated with poison,,covid19,Emergency Measures,
N00152,Spanish helicopters are spreading medicines against coronavirus,,covid19,Emergency Measures,
N00153,Oman helicopters are spraying pesticides to eliminate coronavirus,,covid19,Emergency Measures,
N00154,Venezuela helicopters are going to spread chemicals against coronavirus,,covid19,Emergency Measures,
N00155,Trump will impose a nationwide mandatory quarantine in 38 to 72 hours 3/16,,covid19,Emergency Measures,
N00156,Military in Philadelphia are preparing to invoke martial law and bring citizens to FEMA camps,,covid19,Emergency Measures,
N00157,Supermarkets are recalling coronavirus-infected toilet paper,,covid19,Emergency Measures,
N00158,Pence urges people with coronavirus to go to police 3/2,,covid19,Emergency Measures,
N00159,Police in China kill covid-19 patients 3/2,,covid19,Emergency Measures,
N00160,Chinese coronavirus patients are being cremated alive 2/25,,covid19,Emergency Measures,
N00161,Pandemic caused Venice’s water to be clear so the swans returned,,covid19,Good News Stories,
N00162,Pandemic caused Venice’s water to be clear so the dolphins returned,,covid19,Good News Stories,
N00163,Elephants break into a village due to social distancing and get drunk on corn wine,,covid19,Good News Stories,
