disarm_id,externalgroup_id,activity_id,summary
GC000001,G000001,,
GC000002,G000002,,
GC000003,G000003,,
GC000004,G000004,,
GC000005,G000005,F00095,
GC000006,G000006,,
GC000007,G000007,,
GC000008,G000008,,
GC000009,G000009,F00095,
GC000010,G000010,F00095,
GC000011,G000011,F00095,
GC000012,G000012,F00095,
GC000013,G000013,F00095,
GC000014,G000014,,
GC000015,G000015,,
GC000016,G000016,,
GC000017,G000017,F00095,
GC000018,G000018,C00205,
GC000019,G000019,C00205,
GC000020,G000020,,
GC000021,G000021,F00095,
GC000022,G000022,,
GC000023,G000023,,
GC000024,G000024,F00095,
GC000025,G000025,C00073,
GC000026,G000026,F00095,
GC000027,G000027,F00095,
GC000028,G000028,F00095,
GC000029,G000029,,
GC000030,G000030,,
GC000031,G000031,,
GC000032,G000032,F00095,
GC000033,G000033,,
GC000034,G000034,,
GC000035,G000035,C00205,
GC000036,G000036,,
GC000037,G000037,,
GC000038,G000038,,
GC000039,G000039,,
GC000040,G000040,,
GC000041,G000041,F00095,
GC000042,G000042,F00095,
GC000043,G000043,,
GC000044,G000044,,
GC000045,G000045,,
GC000046,G000046,,
GC000047,G000047,,
GC000048,G000048,,
GC000049,G000049,,
GC000050,G000050,C00073,
GC000051,G000051,C00073,
GC000052,G000052,C00205,
GC000053,G000053,,
GC000054,G000054,,
GC000055,G000055,,
GC000056,G000056,F00095,
GC000057,G000057,F00095,
GC000058,G000058,,
GC000059,G000059,,
GC000060,G000060,F00095,
GC000061,G000061,,
GC000062,G000062,,
GC000063,G000063,,
GC000064,G000064,,
GC000065,G000065,,
GC000066,G000066,,
GC000067,G000067,,
GC000068,G000068,,
GC000069,G000069,C00205,
GC000070,G000070,,
GC000071,G000071,,
GC000072,G000072,,
GC000073,G000073,,
GC000074,G000074,,
GC000075,G000075,F00095,
GC000076,G000076,,
GC000077,G000077,,
GC000078,G000078,,
GC000079,G000079,,
GC000080,G000080,,
GC000081,G000081,,
GC000082,G000082,,
GC000083,G000083,,
GC000084,G000084,,
GC000085,G000085,F00095,
GC000086,G000086,,
GC000087,G000087,C00205,
GC000088,G000088,,
GC000089,G000089,,
GC000090,G000090,,
GC000091,G000091,,
GC000092,G000092,,
GC000093,G000093,C00205,
GC000094,G000094,,
GC000095,G000095,,
GC000096,G000096,C00205,
GC000097,G000097,,
GC000098,G000098,,
GC000099,G000099,,
GC000100,G000100,,
GC000101,G000101,C00205,
GC000102,G000102,,
GC000103,G000103,,
GC000104,G000104,,
GC000105,G000105,F00095,
GC000106,G000106,,
GC000107,G000107,F00095,
GC000108,G000108,F00095,
GC000109,G000109,,
GC000110,G000110,,
GC000111,G000111,F00095,
GC000112,G000112,C00073,
GC000113,G000113,F00095,
GC000114,G000114,,
GC000115,G000115,F00095,
GC000116,G000116,,
GC000117,G000117,C00073,
GC000118,G000118,,
GC000119,G000119,,
GC000120,G000120,,
GC000121,G000121,,
GC000122,G000122,C00205,
GC000123,G000123,,
GC000124,G000124,C00205,
GC000125,G000125,,
GC000126,G000126,,
GC000127,G000127,,
GC000128,G000128,C00073,
GC000129,G000129,F00095,
GC000130,G000130,,
GC000131,G000131,F00095,
GC000132,G000132,,
GC000133,G000133,,
GC000134,G000134,,
GC000135,G000135,,
GC000136,G000136,,
GC000137,G000137,,
GC000138,G000138,F00095,
GC000139,G000139,,
GC000140,G000140,F00095,
GC000141,G000141,F00095,
GC000142,G000142,F00095,
GC000143,G000143,,
GC000144,G000144,F00095,
GC000145,G000145,,
GC000146,G000146,,
GC000147,G000147,F00095,
GC000148,G000148,,
GC000149,G000149,,
GC000150,G000150,,
GC000151,G000151,,
GC000152,G000152,,
GC000153,G000153,,
GC000154,G000154,,
GC000155,G000155,,
GC000156,G000156,,
GC000157,G000157,,
GC000158,G000158,,
GC000159,G000159,,
GC000160,G000160,,
GC000161,G000161,C00188,
GC000162,G000162,,
GC000163,G000163,,
GC000164,G000164,,
GC000165,G000165,,
GC000166,G000166,F00095,
GC000167,G000167,,
GC000168,G000168,,
GC000169,G000169,,
GC000170,G000170,,
GC000171,G000171,,
GC000172,G000172,,
GC000173,G000173,,
GC000174,G000174,,
GC000175,G000175,F00095,
GC000176,G000176,,
GC000177,G000177,,
GC000178,G000178,,
GC000179,G000179,,
GC000180,G000180,,
GC000181,G000181,,
GC000182,G000182,,
GC000183,G000183,,
GC000184,G000184,,
GC000185,G000185,F00095,
GC000186,G000186,,
GC000187,G000187,,
GC000188,G000188,,
GC000189,G000189,F00095,
GC000190,G000190,F00095,
GC000191,G000191,,
GC000192,G000192,,
GC000193,G000193,F00095,
GC000194,G000194,F00095,
GC000195,G000195,,
GC000196,G000196,,
GC000197,G000197,,
GC000198,G000198,C00205,
GC000199,G000199,,
GC000200,G000200,,
GC000201,G000201,,
GC000202,G000202,F00095,
GC000203,G000203,C00073,
GC000204,G000204,C00011,
GC000205,G000205,F00095,
GC000206,G000206,,
GC000207,G000207,,
GC000208,G000208,,
GC000209,G000209,,
GC000210,G000210,C00073,
GC000211,G000211,F00095,
GC000212,G000212,,
GC000213,G000213,C00205,
GC000214,G000214,,
GC000215,G000215,F00095,
GC000216,G000216,,
GC000217,G000217,,
GC000218,G000218,,
GC000219,G000219,F00095,
GC000220,G000220,,
GC000221,G000221,,
GC000222,G000222,,
GC000223,G000223,F00095,
GC000224,G000224,,
GC000225,G000225,F00095,
GC000226,G000226,,
GC000227,G000227,F00095,
GC000228,G000228,,
GC000229,G000229,,
GC000230,G000230,,
GC000231,G000231,,
GC000232,G000232,,
GC000233,G000233,,
GC000234,G000234,,
GC000235,G000235,,
GC000236,G000236,,
GC000237,G000237,,
GC000238,G000238,,
GC000239,G000239,,
GC000240,G000240,,
GC000241,G000241,,
GC000242,G000242,,
GC000243,G000243,F00095,
GC000244,G000244,,
GC000245,G000245,,
GC000246,G000246,,
GC000247,G000247,,
GC000248,G000248,,
GC000249,G000249,,
GC000250,G000250,,
GC000251,G000251,F00095,
GC000252,G000252,,
GC000253,G000253,,
GC000254,G000254,,
GC000255,G000255,F00095,
GC000256,G000256,,
GC000257,G000257,F00095,
GC000258,G000258,F00095,
GC000259,G000259,F00095,
GC000260,G000260,F00095,
GC000261,G000261,F00095,
GC000262,G000262,F00095,
GC000263,G000263,,
GC000264,G000264,F00095,
GC000265,G000265,,
GC000266,G000266,C00011,
GC000267,G000267,F00095,
GC000268,G000268,F00095,
GC000269,G000269,F00095,
GC000270,G000270,,
GC000271,G000271,,
GC000272,G000272,F00095,
GC000273,G000273,F00095,
GC000274,G000274,F00095,
GC000275,G000275,,
GC000276,G000276,,
GC000277,G000277,F00095,
GC000278,G000278,,
GC000279,G000279,,
GC000280,G000280,,
GC000281,G000281,,
GC000282,G000282,,
GC000283,G000283,,
GC000284,G000284,,
GC000285,G000285,,
GC000286,G000286,,
GC000287,G000287,F00095,
GC000288,G000288,F00095,
GC000289,G000289,,
GC000290,G000290,,
GC000291,G000291,,
GC000292,G000292,,
GC000293,G000293,,
GC000294,G000294,,
GC000295,G000295,,
GC000296,G000296,,
GC000297,G000297,,
GC000298,G000298,,
GC000299,G000299,F00095,
GC000300,G000300,,
GC000301,G000301,F00095,
GC000302,G000302,,
GC000303,G000303,,
GC000304,G000304,C00073,
GC000305,G000305,,
GC000306,G000306,,
GC000307,G000307,,
GC000308,G000308,,
GC000309,G000309,,
GC000310,G000310,C00205,
GC000311,G000311,,
GC000312,G000312,C00011,
GC000313,G000313,,
GC000314,G000314,,
GC000315,G000315,,
GC000316,G000316,,
GC000317,G000317,F00095,
GC000318,G000318,,
GC000319,G000319,,
GC000320,G000320,F00095,
GC000321,G000321,,
GC000322,G000322,F00095,
GC000323,G000323,C00011,
GC000324,G000324,,
GC000325,G000325,,
GC000326,G000326,F00095,
GC000327,G000327,,
GC000328,G000328,,
GC000329,G000329,,
GC000330,G000330,,
GC000331,G000331,F00095,
GC000332,G000332,,
GC000333,G000333,,
GC000334,G000334,,
GC000335,G000335,,
GC000336,G000336,,
GC000337,G000337,,
GC000338,G000338,,
GC000339,G000339,,
GC000340,G000340,,
GC000341,G000341,,
GC000342,G000342,,
GC000343,G000343,,
GC000344,G000344,,
GC000345,G000345,,
GC000346,G000346,,
GC000347,G000347,,
GC000348,G000348,,
GC000349,G000349,,
GC000350,G000350,,
GC000351,G000351,,
GC000352,G000352,F00095,
GC000353,G000353,F00095,
GC000354,G000354,,
GC000355,G000355,F00095,
GC000356,G000356,,
GC000357,G000357,,
GC000358,G000358,,
GC000359,G000359,F00095,
GC000360,G000360,,
GC000361,G000361,,
GC000362,G000362,,
GC000363,G000363,,
GC000364,G000364,,
GC000365,G000365,,
GC000366,G000366,,
GC000367,G000367,,
GC000368,G000368,F00095,
GC000369,G000369,F00095,
GC000370,G000370,,
GC000371,G000371,,
GC000372,G000372,,
GC000373,G000373,,
GC000374,G000374,,
GC000375,G000375,,
GC000376,G000376,,
GC000377,G000377,,
GC000378,G000378,,
GC000379,G000379,,
GC000380,G000380,,
GC000381,G000381,,
GC000382,G000382,C00205,
GC000383,G000383,,
GC000384,G000384,F00095,
GC000385,G000385,,
GC000386,G000386,C00205,
GC000387,G000387,C00205,
GC000388,G000388,,
GC000389,G000389,,
GC000390,G000390,,
GC000391,G000391,,
GC000392,G000392,,
GC000393,G000393,F00095,
GC000394,G000394,F00095,
GC000395,G000395,,
GC000396,G000396,F00095,
GC000397,G000397,,
GC000398,G000398,,
GC000399,G000399,,
GC000400,G000400,F00095,
GC000401,G000401,F00095,
GC000402,G000402,,
GC000403,G000403,F00095,
GC000404,G000404,C00205,
GC000405,G000405,,
GC000406,G000406,F00095,
GC000407,G000407,,
GC000408,G000408,,
GC000409,G000409,,
GC000410,G000410,,
GC000411,G000411,,
GC000412,G000412,,
GC000413,G000413,,
GC000414,G000414,,
GC000415,G000415,,
GC000416,G000416,,
GC000417,G000417,F00095,
GC000418,G000418,F00095,
GC000419,G000419,F00095,
GC000420,G000420,,
GC000421,G000421,F00095,
GC000422,G000422,,
GC000423,G000423,,
GC000424,G000424,F00095,
GC000425,G000425,F00095,
GC000426,G000426,,
GC000427,G000427,F00095,
GC000428,G000428,,
GC000429,G000429,F00095,
GC000430,G000430,C00073,
GC000431,G000431,,
GC000432,G000432,,
GC000433,G000433,,
GC000434,G000434,,
GC000435,G000435,,
GC000436,G000436,,
GC000437,G000437,,
GC000438,G000438,,
GC000439,G000439,,
GC000440,G000440,,
GC000441,G000441,,
GC000442,G000442,F00095,
GC000443,G000443,,
GC000444,G000444,F00095,
GC000445,G000445,F00095,
GC000446,G000446,,
GC000447,G000447,,
GC000448,G000448,C00011,
GC000449,G000449,,
GC000450,G000450,,
GC000451,G000451,F00095,
GC000452,G000452,C00205,
GC000453,G000453,,
GC000454,G000454,F00095,
GC000455,G000455,,
GC000456,G000456,,
GC000457,G000457,F00095,
GC000458,G000458,F00095,
GC000459,G000459,,
GC000460,G000460,,
GC000461,G000461,,
GC000462,G000462,F00095,
GC000463,G000463,,
GC000464,G000464,F00095,
GC000465,G000465,,
GC000466,G000466,,
GC000467,G000467,,
GC000468,G000468,F00095,
GC000469,G000469,,
GC000470,G000470,F00095,
GC000471,G000471,,
GC000472,G000472,,
GC000473,G000473,,
GC000474,G000474,F00095,
GC000475,G000475,C00073,
GC000476,G000476,,
GC000477,G000477,,
GC000478,G000478,,
GC000479,G000479,,
GC000480,G000480,,
GC000481,G000481,,
GC000482,G000482,,
GC000483,G000483,,
GC000484,G000484,,
GC000485,G000485,,
GC000486,G000486,F00095,
GC000487,G000487,,
GC000488,G000488,,
GC000489,G000489,,
GC000490,G000490,F00095,
GC000491,G000491,,
GC000492,G000492,,
GC000493,G000493,,
GC000494,G000494,,
GC000495,G000495,,
GC000496,G000496,,
GC000497,G000497,,
GC000498,G000498,,
GC000499,G000499,,
GC000500,G000500,C00205,
GC000501,G000501,,
GC000502,G000502,,
GC000503,G000503,,
GC000504,G000504,,
GC000505,G000505,,
GC000506,G000506,,
GC000507,G000507,,
GC000508,G000508,,
GC000509,G000509,,
GC000510,G000510,,
GC000511,G000511,F00095,
GC000512,G000512,F00095,
GC000513,G000513,,
GC000514,G000514,F00095,
GC000515,G000515,,
GC000516,G000516,F00095,
GC000517,G000517,F00095,
GC000518,G000518,,
GC000519,G000519,,
GC000520,G000520,,
GC000521,G000521,F00095,
GC000522,G000522,F00095,
GC000523,G000523,,
GC000524,G000524,,
GC000525,G000525,F00095,
GC000526,G000526,,
GC000527,G000527,,
GC000528,G000528,,
GC000529,G000529,F00095,
GC000530,G000530,,
GC000531,G000531,,
GC000532,G000532,F00095,
GC000533,G000533,,
GC000534,G000534,,
GC000535,G000535,,
GC000536,G000536,,
GC000537,G000537,,
GC000538,G000538,,
GC000539,G000539,F00095,
GC000540,G000540,,
GC000541,G000541,F00095,
GC000542,G000542,,
GC000543,G000543,F00095,
GC000544,G000544,,
GC000545,G000545,F00095,
GC000546,G000546,,
GC000547,G000547,,
GC000548,G000548,,
GC000549,G000549,,
GC000550,G000550,,
GC000551,G000551,,
GC000552,G000552,,
GC000553,G000553,F00095,
GC000554,G000554,F00095,
GC000555,G000555,,
GC000556,G000556,,
GC000557,G000557,F00095,
GC000558,G000558,,
GC000559,G000559,,
GC000560,G000560,,
GC000561,G000561,,
GC000562,G000562,F00095,
GC000563,G000563,,
GC000564,G000564,C00205,
GC000565,G000565,,
GC000566,G000566,F00095,
GC000567,G000567,C00073,
GC000568,G000568,,
GC000569,G000569,F00095,
GC000570,G000570,,
GC000571,G000571,,
GC000572,G000572,,
GC000573,G000573,,
GC000574,G000574,,
GC000575,G000575,,
GC000576,G000576,F00095,
GC000577,G000577,,
GC000578,G000578,F00095,
GC000579,G000579,,
GC000580,G000580,F00095,
GC000581,G000581,C00011,
GC000582,G000582,F00095,
GC000583,G000583,,
GC000584,G000584,,
GC000585,G000585,,
GC000586,G000586,,
GC000587,G000587,,
GC000588,G000588,C00073,
GC000589,G000589,,
GC000590,G000590,,
GC000591,G000591,F00095,
GC000592,G000592,,
GC000593,G000593,,
GC000594,G000594,,
GC000595,G000595,,
GC000596,G000596,,
GC000597,G000597,,
GC000598,G000598,,
GC000599,G000599,F00095,
GC000600,G000600,F00095,
GC000601,G000601,F00095,
GC000602,G000602,,
GC000603,G000603,,
GC000604,G000604,F00095,
GC000605,G000605,C00080,
GC000606,G000606,,
GC000607,G000607,F00095,
GC000608,G000608,,
GC000609,G000609,F00095,
GC000610,G000610,F00095,
GC000611,G000611,F00095,
GC000612,G000612,,
GC000613,G000613,C00073,
GC000614,G000614,,
GC000615,G000615,,
GC000616,G000616,,
GC000617,G000617,F00095,
GC000618,G000618,,
GC000619,G000619,,
GC000620,G000620,,
GC000621,G000621,F00095,
GC000622,G000622,,
GC000623,G000623,,
GC000624,G000624,,
GC000625,G000625,,
GC000626,G000626,,
GC000627,G000627,,
GC000628,G000628,F00095,
GC000629,G000629,,
GC000630,G000630,F00095,
GC000631,G000631,,
GC000632,G000632,F00095,
GC000633,G000633,,
GC000634,G000634,,
GC000635,G000635,,
GC000636,G000636,,
GC000637,G000637,C00073,
GC000638,G000638,,
GC000639,G000639,,
GC000640,G000640,,
GC000641,G000641,,
GC000642,G000642,F00095,
GC000643,G000643,,
GC000644,G000644,,
GC000645,G000645,,
GC000646,G000646,F00095,
GC000647,G000647,,
GC000648,G000648,F00095,
GC000649,G000649,,
GC000650,G000650,,
GC000651,G000651,,
GC000652,G000652,,
GC000653,G000653,,
GC000654,G000654,,
GC000655,G000655,,
GC000656,G000656,,
GC000657,G000657,,
GC000658,G000658,,
GC000659,G000659,,
GC000660,G000660,,
GC000661,G000661,,
GC000662,G000662,,
GC000663,G000663,,
GC000664,G000664,,
GC000665,G000665,,
GC000666,G000666,,
GC000667,G000667,F00095,
GC000668,G000668,,
GC000669,G000669,,
GC000670,G000670,C00073,
GC000671,G000671,,
GC000672,G000672,,
GC000673,G000673,F00095,
GC000674,G000674,,
GC000675,G000675,,
GC000676,G000676,,
GC000677,G000677,,
GC000678,G000678,F00095,
GC000679,G000679,,
GC000680,G000680,,
GC000681,G000681,,
GC000682,G000682,,
GC000683,G000683,,
GC000684,G000684,,
GC000685,G000685,F00095,
GC000686,G000686,,
GC000687,G000687,,
GC000688,G000688,,
GC000689,G000689,F00095,
GC000690,G000690,,
GC000691,G000691,,
GC000692,G000692,,
GC000693,G000693,C00011,
GC000694,G000694,C00205,
GC000695,G000695,C00011,
GC000696,G000696,,
GC000697,G000697,,
GC000698,G000698,,
GC000699,G000699,,
GC000700,G000700,,
GC000701,G000701,,
GC000702,G000702,F00095,
GC000703,G000703,F00095,
GC000704,G000704,,
GC000705,G000705,,
GC000706,G000706,,
GC000707,G000707,,
GC000708,G000708,,
GC000709,G000709,,
GC000710,G000710,F00095,
GC000711,G000711,,
GC000712,G000712,,
GC000713,G000713,C00011,
GC000714,G000714,,
GC000715,G000715,,
GC000716,G000716,,
GC000717,G000717,F00095,
GC000718,G000718,,
GC000719,G000719,,
GC000720,G000720,F00095,
GC000721,G000721,,
GC000722,G000722,,
GC000723,G000723,,
GC000724,G000724,,
GC000725,G000725,,
GC000726,G000726,,
GC000727,G000727,,
GC000728,G000728,,
GC000729,G000729,,
GC000730,G000730,,
GC000731,G000731,,
GC000732,G000732,,
GC000733,G000733,,
GC000734,G000734,,
GC000735,G000735,,
GC000736,G000736,,
GC000737,G000737,,
GC000738,G000738,,
GC000739,G000739,,
GC000740,G000740,,
GC000741,G000741,,
GC000742,G000742,,
GC000743,G000743,,
GC000744,G000744,,
GC000745,G000745,,
GC000746,G000746,,
GC000747,G000747,,
GC000748,G000748,,
GC000749,G000749,,
GC000750,G000750,,
GC000751,G000751,,
GC000752,G000752,,
GC000753,G000753,,
GC000754,G000754,,
GC000755,G000755,,
GC000756,G000756,,
GC000757,G000757,,
GC000758,G000758,,
GC000759,G000759,,
GC000760,G000760,,
GC000761,G000761,,
GC000762,G000762,,
GC000763,G000763,,
GC000764,G000764,F00095,
GC000765,G000765,,
GC000766,G000766,,
GC000767,G000767,,
GC000768,G000768,,
GC000769,G000769,,
GC000770,G000770,,
GC000771,G000771,,
GC000772,G000772,,
GC000773,G000773,,
GC000774,G000774,,
GC000775,G000775,,
GC000776,G000776,,
GC000777,G000777,,
GC000778,G000778,,
GC000779,G000779,,
GC000780,G000780,F00095,
GC000781,G000781,,
GC000782,G000782,,
GC000783,G000783,F00095,
GC000784,G000784,,
GC000785,G000785,,
GC000786,G000786,,
GC000787,G000787,,
GC000788,G000788,F00095,
GC000789,G000789,F00095,
GC000790,G000790,F00095,
GC000791,G000791,F00095,
GC000792,G000792,,
GC000793,G000793,,
GC000794,G000794,F00095,
GC000795,G000795,,
GC000796,G000796,F00095,
GC000797,G000797,,
GC000798,G000798,F00095,
GC000799,G000799,,
GC000800,G000800,,
GC000801,G000801,,
GC000802,G000802,,
GC000803,G000803,,
GC000804,G000804,,
GC000805,G000805,,
GC000806,G000806,,
GC000807,G000807,,
GC000808,G000808,,
GC000809,G000809,,
GC000810,G000810,,
GC000811,G000811,,
GC000812,G000812,F00095,
GC000813,G000813,,
GC000814,G000814,,
GC000815,G000815,,
GC000816,G000816,,
GC000817,G000817,,
GC000818,G000818,,
GC000819,G000819,,
GC000820,G000820,C00073,
GC000821,G000821,,
GC000822,G000822,,
GC000823,G000823,F00095,
